wr@4  ,data=[0 1 2 3]
rd@5  ,data=[0 1 2 3]
wr@8  ,data=[4 5 6 7]
rd@9  ,data=[4 5 6 7]
wr@12  ,data=[8 9 10 11]
rd@13  ,data=[8 9 10 11]
wr@16  ,data=[12 13 14 15]
rd@17  ,data=[12 13 14 15]
wr@20  ,data=[16 17 18 19]
rd@21  ,data=[16 17 18 19]
wr@24  ,data=[20 21 22 23]
rd@25  ,data=[20 21 22 23]
wr@28  ,data=[24 25 26 27]
rd@29  ,data=[24 25 26 27]
wr@32  ,data=[28 29 30 31]
rd@33  ,data=[28 29 30 31]
wr@36  ,data=[32 33 34 35]
rd@37  ,data=[32 33 34 35]
wr@40  ,data=[36 37 38 39]
rd@41  ,data=[36 37 38 39]
wr@44  ,data=[40 41 42 43]
rd@45  ,data=[40 41 42 43]
wr@48  ,data=[44 45 46 47]
rd@49  ,data=[44 45 46 47]
wr@52  ,data=[48 49 50 51]
rd@53  ,data=[48 49 50 51]
wr@56  ,data=[52 53 54 55]
rd@57  ,data=[52 53 54 55]
wr@60  ,data=[56 57 58 59]
rd@61  ,data=[56 57 58 59]
wr@64  ,data=[60 61 62 63]
rd@65  ,data=[60 61 62 63]
